CP1 MT FUNNY|false|1065
871.849365234375,364.466796875,-675.1310424804688|0.019633717834949493,3.889322286454444e-08,0.9998072385787964|-3.5343692417200145e-08,1,-3.8206657393402566e-08|Running
871.8595581054688,364.5445861816406,-674.6034545898438|0.019633717834949493,8.215671698508231e-09,0.9998072385787964|6.889198544968167e-09,1,-8.35254176934086e-09|Running
871.8698120117188,364.6224670410156,-674.0758666992188|0.019633717834949493,-2.243566576964895e-08,0.9998072385787964|4.908598683073251e-08,1,2.1476065370507058e-08|Running
871.8800659179688,364.7003479003906,-673.5482788085938|0.02181287109851837,-5.3151342882529207e-08,0.9997620582580566|9.129339417768279e-08,1,5.117214740835152e-08|Running
871.891357421875,364.7784423828125,-673.0208740234375|0.023995734751224518,-4.5274354931734706e-08,0.9997120499610901|7.155518488843882e-08,1,4.3569880148197626e-08|Running
871.9038696289062,364.8558349609375,-672.4932861328125|0.023995734751224518,-3.7404095820647854e-08,0.9997120499610901|5.1722437888201966e-08,1,3.6173393169747214e-08|Running
871.9165649414062,364.9326477050781,-671.9656982421875|0.023995734751224518,-2.954056377291181e-08,0.9997120499610901|3.190665509578139e-08,1,2.8783228245288228e-08|Running
871.9292602539062,365.0088806152344,-671.43798828125|0.02617657743394375,-2.164097523404962e-08,0.9996573328971863|1.2170527696753197e-08,1,2.1329702448724674e-08|Running
871.9429321289062,365.0846252441406,-670.91015625|0.02617657743394375,-1.374813862753399e-08,0.9996573328971863|-7.611395069773152e-09,1,1.3952159427788047e-08|Running
871.9568481445312,365.1603088378906,-670.38232421875|0.026175862178206444,-5.862065499684377e-09,0.9996573328971863|-2.737641224825893e-08,1,6.58092158545287e-09|Running
871.9707641601562,365.2359924316406,-669.8544921875|0.02617514878511429,2.0172548076402563e-09,0.999657392501831|-4.7124526503239395e-08,1,-7.840320614960206e-10|Running
